picture.no,hue,sat,bright,SDhue,SDsat,SDbright,ED,PE
5,2.293323987,0.377402595,0.605533133,2.020531982,0.171892247,0.15790182,0.083886818,7.307770512
12,2.243059458,0.512520161,0.461850634,0.993405108,0.339524299,0.362491216,0.125087102,7.394368933
14,2.48339476,0.170962054,0.451197744,1.340974826,0.156402876,0.308338483,0.084095866,7.289138101
15,2.262523434,0.364169916,0.615464774,1.682062996,0.235420289,0.278225135,0.114835634,7.665695896
27,1.993830967,0.18850264,0.468538962,1.497266561,0.180968498,0.239878743,0.124109029,7.653748414
28,0.051894825,0.145321688,0.545527918,1.502906746,0.163916609,0.308889125,0.098087565,7.567593296
40,3.057064176,0.34906202,0.537577267,1.562272984,0.261246017,0.314256736,0.110913694,7.775580596
43,-2.871420835,0.279069419,0.576233029,1.061286989,0.117202545,0.141705528,0.092015377,6.898095904
114,2.203079901,0.068254922,0.546762119,1.877959527,0.062752671,0.245826167,0.102060159,7.488058169
129,-1.632722397,0.121407712,0.516402908,2.141289179,0.128275669,0.275518831,0.075326204,7.310958648
138,2.463067522,0.281278982,0.550018665,2.163163458,0.221300516,0.271568874,0.086329738,7.648301949
221,1.120998164,0.227414566,0.646265109,1.013093976,0.176786506,0.225510764,0.09732382,7.564585159
225,0.559136519,0.291862322,0.533636834,1.603055778,0.19156046,0.327653325,0.103932699,7.774668008
232,0.712184992,0.236309975,0.554954081,0.997351834,0.175467718,0.194895179,0.125899829,7.535432937
233,2.42528294,0.363653625,0.53464525,1.808212731,0.227540274,0.147451674,0.087486267,7.02586031
239,0.786307156,0.189108018,0.651728376,0.308638958,0.145475073,0.176340469,0.123195833,7.331210353
240,0.900881173,0.222479582,0.595513333,0.908858499,0.107357578,0.23395477,0.083292708,7.284665687
317,2.451312061,0.226554406,0.536400445,1.761195214,0.174315334,0.203561288,0.120119444,7.616476237
320,1.888756512,0.259911653,0.454990185,1.575701716,0.122750926,0.252011105,0.118899016,7.677404891
349,1.236757552,0.202356652,0.557577357,0.964428823,0.219461148,0.299492391,0.131748906,6.553656183
384,2.760619544,0.244813955,0.500879649,1.627907193,0.189433634,0.279468689,0.116584375,7.804259851
396,-2.977099962,0.358393373,0.593153203,1.424982527,0.281001309,0.246494934,0.072567536,7.513147368
411,1.595167568,0.558593198,0.346479543,0.853584616,0.308686717,0.271154765,0.126700317,7.200989205
412,0.48393948,0.312381813,0.578584313,1.498619143,0.321830916,0.290394183,0.086836415,7.822358054
419,0.548231768,0.17714275,0.594692144,0.656061746,0.166787041,0.287272836,0.129250093,5.97266869
684,2.62809509,0.524229557,0.652204986,1.133569411,0.155867585,0.31462122,0.114451563,7.327488588
689,1.20705555,0.45932353,0.608950526,0.905671411,0.220079229,0.190455245,0.119301077,7.144935976
693,1.415558351,0.275625469,0.576152347,1.069799049,0.169155424,0.209836046,0.131279745,7.070743257
694,2.765810276,0.306917345,0.723061675,1.45401211,0.203872827,0.276209824,0.098632292,6.951199241
695,1.969407848,0.168474413,0.572594078,1.737738484,0.097610884,0.257855739,0.129249573,7.310602778
698,0.689837954,0.166836884,0.723796246,1.491671411,0.103302389,0.189618694,0.139039323,6.902566188
891,-1.576880789,0.203322897,0.596673109,1.486643354,0.0938766,0.303951734,0.084683489,7.323459336
895,2.847003562,0.298615025,0.58541561,1.678300509,0.173254444,0.267297189,0.103238051,7.542019478
940,1.323383159,0.597622695,0.528728276,0.252994738,0.186641382,0.289569902,0.181401042,7.738280834
1023,-2.908351568,0.278315409,0.666530727,1.851771792,0.164430246,0.245942978,0.083109375,6.905554794
1255,0.725686143,0.205855852,0.613803987,1.425646916,0.182503862,0.261803204,0.11273125,7.219162801
1256,0.124928412,0.42830389,0.505373085,1.231441436,0.295958959,0.318700453,0.120122912,7.567980154
1295,2.809442937,0.363137654,0.648495284,1.576834438,0.2322251,0.288928095,0.108102811,7.385315134
1296,1.363082362,0.331416481,0.419133529,0.76855064,0.109418257,0.196032942,0.101379167,6.759505454
1339,0.933396496,0.11356521,0.712957922,1.676885168,0.104165248,0.267009204,0.07882546,7.149885259
1368,-1.039584326,0.471760522,0.617360243,1.980365707,0.223721664,0.353622533,0.099285482,7.385654137
1369,2.732842561,0.264313161,0.672650408,1.336525748,0.203877513,0.273794894,0.0702,7.198079347
1372,0.565796832,0.216409973,0.564340098,1.634477477,0.159406201,0.238833882,0.096783333,7.007488036
1373,3.093813143,0.251502114,0.507751887,1.627504621,0.181272047,0.260251815,0.101059375,7.244441871
1461,-3.096028366,0.255441097,0.409151745,1.966460766,0.245658738,0.283025742,0.078129019,7.588208708
1465,-2.819297654,0.21914826,0.55416731,0.928166848,0.137028098,0.346895285,0.068054567,7.824759972
1469,2.12968095,0.10506418,0.601939034,1.452320063,0.100378537,0.275687674,0.066767351,6.634428621
1470,-2.820617757,0.17984596,0.628675603,1.409221432,0.147201788,0.186690634,0.083684115,6.967036326
1472,1.916025218,0.312541712,0.612830717,0.448790611,0.141784128,0.236331858,0.146074627,7.66643633
1549,3.037690965,0.183637575,0.642237575,1.317464354,0.128051106,0.311912932,0.103228887,7.567390268
1555,0.850214266,0.477069968,0.49711059,1.509753457,0.214730105,0.299591518,0.114783857,7.472145957
1560,-2.418252947,0.22172657,0.678679439,1.21371855,0.182211478,0.298277276,0.109091403,7.496126016
1626,-2.284189676,0.318511764,0.507220249,1.436586005,0.270540033,0.283437684,0.119390178,7.785365216
1810,1.234719786,0.35059115,0.420898134,1.445839285,0.244832356,0.252782043,0.131778971,7.657729093
1856,-2.243371314,0.316576052,0.727198753,1.889485412,0.174310659,0.248710658,0.084623311,7.466763871
1874,-2.450555456,0.160764466,0.671492122,1.185642068,0.140649362,0.283757393,0.072027365,7.174679017
1887,2.77331133,0.348737532,0.503030782,1.135348188,0.262355779,0.322946456,0.112125992,7.425556169
1889,-2.973120954,0.532113686,0.583068037,1.931998353,0.240988725,0.241822361,0.093269254,7.224410547
1895,0.972488634,0.175535867,0.495051716,1.523891882,0.180207721,0.309310046,0.116986921,7.718836099
1904,1.505119481,0.429636188,0.482773184,0.728094738,0.22265078,0.208847865,0.172378203,7.554481674
1912,1.949458241,0.177809177,0.47766545,1.587874046,0.13990666,0.340497839,0.102753037,7.111336464
1914,2.02565415,0.288465451,0.428867402,0.954250051,0.189070704,0.221143245,0.121068001,7.514373581
1962,1.485941766,0.437863157,0.568739349,0.902932628,0.259920322,0.295793738,0.133027395,7.851133468
1978,1.146650701,0.549365898,0.471250159,1.267160858,0.260429024,0.279467059,0.141143713,7.721524292
2084,1.25589439,0.238141957,0.402512674,1.086980145,0.210642948,0.297748811,0.08602662,7.222888484
2114,-2.483598949,0.155800787,0.564723023,1.310546777,0.09451394,0.316819695,0.085503487,7.513644311
2115,1.076266421,0.256226248,0.590724128,1.168811598,0.205638569,0.107701708,0.089933434,6.681631163
2218,-1.351618803,0.158522919,0.60696799,2.154053859,0.164992328,0.165554514,0.126575,7.241645469
2242,0.375249321,0.482276023,0.625362324,1.430449839,0.308040066,0.343682586,0.107064198,7.731669152
2243,2.948391431,0.192648115,0.718681577,1.695222372,0.22252215,0.266315023,0.093100586,7.464265482
2245,-2.979900719,0.120209228,0.564667085,1.759079259,0.115000935,0.321257056,0.080125333,7.144860801
2250,1.927120189,0.177439919,0.496335705,2.137977818,0.169787656,0.276655211,0.094579655,7.2072112
2251,-1.860067235,0.131791391,0.69735663,1.371661278,0.146789136,0.225236752,0.119230143,6.441793175
2257,0.182631293,0.211370053,0.543826931,0.669657222,0.252558365,0.256440811,0.060946236,7.070630959
2341,0.560198017,0.37810452,0.495858498,1.459062559,0.300161164,0.221706447,0.106292103,7.116262168
2348,-1.767600826,0.429510836,0.641034818,1.920922843,0.162017,0.187019359,0.088593052,7.241337846
2354,-0.143675758,0.174190446,0.526394006,1.34930298,0.114325882,0.240728896,0.121431669,7.066035975
2378,0.337714296,0.2480202,0.513480731,1.958148099,0.233249337,0.319094152,0.124237696,7.533101706
2385,1.274930496,0.326033173,0.610432973,1.304641101,0.202601321,0.27549908,0.143777847,7.815674559
2392,2.200937695,0.32054119,0.515579328,1.039112109,0.193082064,0.303991094,0.126028241,7.731125435
2398,2.070366144,0.35011718,0.466519414,1.143899279,0.239782129,0.269947458,0.098470134,7.306106817
2445,1.205890893,0.219372778,0.442104143,2.210800518,0.184363733,0.235859959,0.135751088,7.618257774
2458,2.180969591,0.269539369,0.474544801,1.722688405,0.171927284,0.302527992,0.121342625,7.857718161
2468,-3.084075245,0.388997725,0.481686823,1.580341715,0.173389866,0.291692264,0.106131185,7.216389097
2469,-1.956101164,0.328941528,0.648649986,1.693816822,0.161994932,0.317199269,0.091596603,7.723276752
2471,1.671842485,0.429967504,0.554278358,1.07009492,0.179170305,0.270678147,0.14005518,7.495857762
2478,-2.221993155,0.211283571,0.650181211,1.764670309,0.175435267,0.274760395,0.093962351,7.592574387
2479,2.554200795,0.292356701,0.574979509,1.317427093,0.233365238,0.277755561,0.109920868,7.287756613
2480,2.813863705,0.344044178,0.623991559,1.374994252,0.180229394,0.315488899,0.094844818,7.505406941
2481,-2.204308605,0.140852339,0.585872018,1.650367857,0.136875888,0.191836888,0.096688747,6.803423002
2486,-0.835842232,0.207706837,0.479529424,1.829663433,0.177022897,0.308344574,0.094013813,7.452534924
2493,1.353594312,0.275464576,0.534414221,1.278277009,0.258435476,0.263407486,0.146152358,7.610782515
2630,0.282994321,0.141918717,0.564054861,1.136359867,0.1333178,0.268533301,0.080630729,7.576391782
2708,0.658714699,0.149164676,0.601455167,1.377968246,0.162329345,0.241996913,0.101614995,7.473292561
2791,2.010371092,0.306822956,0.549868086,1.558208403,0.262811633,0.312141739,0.088825703,7.200374978
2793,1.46867114,0.390677402,0.504670118,1.740925245,0.196081213,0.346397407,0.074179887,7.565514327
2928,1.363133845,0.476396652,0.466883373,1.34149624,0.256820393,0.292046334,0.107935376,7.409858511
2931,1.032302395,0.31166449,0.576388069,1.746546571,0.188604306,0.231556176,0.155799897,7.631148453
2934,0.920762993,0.272204767,0.547819885,1.184760437,0.201355323,0.224299547,0.124700714,7.141901443
2944,-2.775391996,0.365878523,0.627257187,2.111180638,0.208068826,0.26125298,0.096553125,7.497225709
2948,1.119138151,0.318970477,0.621410098,0.765851542,0.14133664,0.156160486,0.186176042,7.029864736
2957,-2.033896483,0.334621332,0.474940131,1.627305297,0.289737459,0.240391691,0.154085376,7.900642425
2960,1.406579068,0.158856558,0.475287103,1.215221373,0.15157345,0.231347068,0.186179199,7.772042433
3026,2.880376381,0.237339228,0.608126397,2.044756991,0.169567093,0.20378417,0.092976252,6.752944842
3032,-2.974511908,0.336107946,0.61493504,1.103788134,0.156793599,0.28502849,0.074384848,7.441544222
3198,2.85016828,0.330703709,0.544964939,1.731851839,0.185393359,0.248938664,0.095544179,7.140008221
3234,1.377695096,0.432296765,0.525688534,1.786502314,0.317721447,0.314260617,0.088423336,7.654983295
3237,1.630192202,0.374164629,0.631136393,1.647535014,0.184402732,0.206954794,0.115546468,7.06782325
3238,2.490300263,0.280920225,0.54644864,1.758869982,0.234668015,0.317311759,0.095932427,7.37274223
3242,-2.886130677,0.371655927,0.67837862,1.081518391,0.222785639,0.314395685,0.093046296,7.818215243
3248,-2.656586984,0.322793248,0.760153163,0.603561824,0.145991482,0.164576992,0.068088889,6.566102252
3255,-2.722259487,0.089215393,0.517138757,1.396935233,0.077888056,0.306770743,0.089548111,7.54106215
3309,-0.745415418,0.186173874,0.690592827,1.917876688,0.213142836,0.270698847,0.10953776,7.695288191
3348,0.801574038,0.411154545,0.486051471,0.628227293,0.274011374,0.276055399,0.143527083,7.891164469
3354,1.163871815,0.32729294,0.558108353,1.116256646,0.267653234,0.33354552,0.103937467,7.653588356
